id	date	change	command_or_hardware_step	result	status	artifact
E00	2026-08-17	Native AP RPMsg path	Boot native work-queue path and collect AMP diagnostics	queue entered without return; rpmsg worker waits semaphore; RPMsg device absent	baseline	baseline.md
E01	2026-08-17	Synchronous first AP RPMsg start work	Boot image and run cmd=3 twice	queue/register/init all zero; bidirectional vrings advance; two ACK+check pings pass	control	baseline.md
E02	2026-08-17	Native RPMsg restored; RPMsg-independent AP dynamic queue delay 0 before rptun_initialize	Build CP/AP and boot; inspect WQ-MIN create/submit/worker markers	c=1/1 s=1/0 ret=0 w=0 d=0; create returns, submit blocks, worker never enters	reproduced	board/bk7258-devkit/src/bk7258_rptun.c
E03	2026-08-17	Change only minimal queue delay from 0 to 1 tick	Build CP/AP and boot; compare WQ-MIN markers against E02	c=1/1 s=1/0 ret=0 w=0 d=1; same block as delay0; heartbeat stalls at 2	ruled-out	board/bk7258-devkit/src/bk7258_rptun.c
E04	2026-08-17	Call standalone clock before work submission and capture IRQ/scheduler/SysTick state	Build CP/AP and boot; inspect WQ-EDGE before WQ-MIN	build pending	testing	board/bk7258-devkit/src/bk7258_rptun.c
E04a	2026-08-17	First H06 build attempt	Build CP/AP	AP link failed because board diagnostic used getreg32 without including nuttx/arch.h	crash	board/bk7258-devkit/src/bk7258_rptun.c
E04b	2026-08-17	Add public nuttx/arch.h include; same H06 experiment	Rebuild AP and boot; inspect WQ-EDGE before WQ-MIN	build failed because getreg32 remained unresolved	crash	board/bk7258-devkit/src/bk7258_rptun.c
E04c	2026-08-17	Second H06 build attempt with nuttx/arch.h	Rebuild AP	AP link still failed: getreg32 is ARM-internal and not exposed by nuttx/arch.h	crash	board/bk7258-devkit/src/bk7258_rptun.c
E04d	2026-08-17	Use local volatile read for fixed diagnostic registers; same H06 experiment	Rebuild AP and boot; inspect WQ-EDGE before WQ-MIN	AP build and L1 validation pass; hardware result pending	testing	board/bk7258-devkit/src/bk7258_rptun.c
E04e	2026-08-17	Standalone clock boundary on hardware	Boot H06 image and inspect WQ-EDGE	clk=1/0 with BASEPRI=0 PRIMASK=0 lockcount=0; SysTick CTRL=3 reload=31 current=8 power=0x70000000; heartbeat continues	localized	board/bk7258-devkit/src/bk7258_rptun.c
E05	2026-08-17	Keep CP TIMER_ARCH; switch only AP to standard NuttX periodic SysTick	Fresh build CP/AP; boot and inspect clock/WQ/native RPMsg	CP TIMER_ARCH L1 pass; AP TIMER=y TIMER_ARCH=n L1 pass; AP links clock_timer/g_system_ticks and no current_usec; hardware pending	testing	chips/bk7258/bk7258_timer.c
E05a	2026-08-17	First periodic-SysTick config attempt disabled TIMER and TIMER_ARCH on AP	Fresh build CP/AP	CP passed; AP failed compiling arm_systick.c because tccb_t requires TIMER	crash	chips/bk7258/Kconfig
E05b	2026-08-17	Keep TIMER on both images; select TIMER_ARCH only for CP	Fresh rebuild AP; verify TIMER=y and TIMER_ARCH=n before hardware test	AP build and L1 pass; final config and symbols match periodic tick experiment	built	chips/bk7258/Kconfig
E05c	2026-08-17	Package H09 first-direction image	Package CP TIMER_ARCH plus AP periodic SysTick	package decode pass; image SHA256 9b07a291527a6e73195dc471ed2d6062249eeb0bcff5c0b5365217107f70b087; hardware pending	testing	cmake_out/bk7258-l2-openvela-ap/all-app.bin
E05d	2026-08-17	Boot H09 first-direction periodic AP image	Inspect WQ-EDGE/WQ-MIN/AMP and native rpmsg dump	clk=1/1/100; WQ create/submit/worker all complete; AP s=10 dev=1; v=04; endpoints bind 1024/1025; vrings 12/4,4/4; heartbeat advances	passed	UART hardware log
E05e	2026-08-17	Native cmd=3 on H09 periodic AP image	Run rpmsg ping /dev/rpmsg/ap 1 64 3 10	ACK+payload check passes; vrings advance from 12/4,4/4 to 13/5,5/5; heartbeat reaches 111	passed	UART hardware log
E06	2026-08-17	Reintroduce AP TIMER_ARCH after periodic success	Fresh rebuild/reflash and inspect clock/WQ/RPMsg regression	clk=1/0; WQ create/submit never reached; AP s=2 dev=0; CP remains ready; heartbeat advances	confirmed	UART hardware log
