id	url_or_id	kind	year	title	relevance	credibility	claim_ids	notes
S001	/home/czp/armino/bk_avdk_smp/tools/build_tools/build_process/bk_sdk/bk_curr_project.py:20	code	2026	Armino CP/AP project list	high	high	C1	Builds bk7258 and bk7258_ap as separate applications
S002	/home/czp/armino/bk_avdk_smp/tools/build_tools/build_process/bk_sdk/bk_sdk_project.py:162	code	2026	Armino application output mapping	high	high	C1,C2	Maps CP to app.bin and AP to app1.bin
S003	/home/czp/armino/bk_avdk_smp/projects/test/platform/partitions/bk7258/auto_partitions.csv:5	config	2026	BK7258 CP/AP Flash partitions	high	high	C1	Separate primary_cp_app and primary_ap_app
S004	/home/czp/armino/bk_avdk_smp/cp/middleware/soc/bk7258/bk7258.defconfig:7	config	2026	Armino BK7258 CP defaults	high	high	C1	CPU_CNT=3 but single-core FreeRTOS configuration
S005	/home/czp/armino/bk_avdk_smp/ap/middleware/soc/bk7258_ap/bk7258_ap.defconfig:8	config	2026	Armino BK7258 AP defaults	high	high	C2	CPU_CNT=2 SOC_SMP and FREERTOS_SMP enabled
S006	/home/czp/armino/bk_avdk_smp/ap/include/os/os.h:1281	code	2026	AP logical to physical CPU mapping	high	high	C2,C3	AP local core ID plus offset 1 maps to global CPU1/CPU2
S007	/home/czp/armino/bk_avdk_smp/cp/include/os/os.h:1245	code	2026	CP logical to physical CPU mapping	medium	high	C1	CP core offset is zero
S008	/home/czp/armino/bk_avdk_smp/cp/components/bk_startup/system_main.c:144	code	2026	CP starts AP CPU1	high	high	C3	Reads APPLICATION1 and programs CPU1 boot/reset
S009	/home/czp/armino/bk_avdk_smp/cp/middleware/driver/sys_ctrl/sys_ps_driver.c:77	code	2026	CPU1 and CPU2 lifecycle driver	high	high	C3	Boot offset power and reset driver calls
S010	/home/czp/armino/bk_avdk_smp/cp/middleware/soc/bk7258/soc/sys_reg.h:117	code	2026	BK7258 CPU lifecycle registers	high	high	C3	Register bitfields for reset power halt and boot offset
S011	/home/czp/armino/bk_avdk_smp/ap/middleware/soc/bk7258_ap/bk7258_ap_bsp.ld:33	code	2026	AP SMP linker layout	high	high	C2	One image contains aligned vectors and per-core stacks
