id	hypothesis	prediction	test	result	status	notes
H01	AP dynamic work-queue creation fails	The rpmsg worker task does not exist after probe	Inspect AP task table after native probe	rpmsg-cp-0 exists as PID 5, priority 224, Waiting Semaphore	ruled-out	Worker creation succeeds
H02	RPMsg or VirtIO initialization fails after the work runs	rpmsg_register or rpmsg_init_vdev is entered and returns an error	Wrap queue/register/init entry and return values	queue entered and did not return; register/init never entered	ruled-out	Failure is below RPMsg start worker
H03	The AP first zero-delay dynamic work submission blocks in generic NuttX work_queue_wq	An RPMsg-independent AP queue with delay 0 enters submit but does not return; CP control or a causally changed submission does return	Build AP minimal dynamic-work test with markers around create, submit and worker	AP reports c=1/1 s=1/0 ret=0 w=0 d=0; generic work_queue_wq reproduces without RPMsg	confirmed	Confirmed symptom below RPMsg; H09 identifies its clock-layer cause
H04	The zero-delay watchdog arm is the trigger while a one-tick submission works	AP delay 0 blocks but delay 1 returns and worker executes; switching back to 0 restores failure	Run the same AP minimal queue with delays 0 and 1, then reverse	AP delay 1 also reports c=1/1 s=1/0 w=0 and heartbeat stalls	ruled-out	Failure is before or independent of requested delay
H05	Priority ordering causes starvation	Changing only caller/worker priorities changes return and worker-enter markers, and restoring priorities restores failure	Run fixed delay with caller 90/95 and worker 90/100/224	Standalone clock blocks before queue creation with BASEPRI=0 PRIMASK=0 lockcount=0; periodic clock fixes the same priorities	ruled-out	Priority was not causal
H06	BK7258 AP clock/watchdog path deadlocks during work submission	A standalone clock call before work_queue_wq fails to return, or clock returns and a later wd_start_abstick boundary does not	First record standalone clock enter/return plus BASEPRI/PRIMASK/lockcount and SysTick registers; wrap watchdog only if clock returns	TIMER_ARCH image reports clk=1/0 before queue creation; periodic image reports clk=1/1/100 and native queue completes	confirmed	Block is in TIMER_ARCH clock/current_usec, before queue/watchdog insertion
H08	AP reports physical CPU1 to UP per-CPU storage	Single-element per-CPU state is indexed with 1 and corrupts watchdog/RPMsg globals	Inspect CONFIG_UP this_cpu macro and final symbols	CONFIG_UP forces this_cpu() to 0; related per-CPU globals are single instances	ruled-out	Physical CPU1 does not index UP per-CPU storage
H09	AP TIMER_ARCH current_usec retry livelocks under the active periodic SysTick when CPU1 XIP fetch lacks deterministic I-cache initialization	Replacing AP timekeeping with periodic SysTick restores the path; restoring TIMER_ARCH reproduces it; enabling only AP I-cache with TIMER_ARCH also restores it	Test periodic substitution and reverse; then hold TIMER_ARCH and change only AP I-cache initialization	Periodic AP restores cmd3; TIMER_ARCH without explicit I-cache fails; TIMER_ARCH plus up_enable_icache restores endpoint binding, cmd3, and vring progress	confirmed	Periodic is a safe alternate; H10 identifies the lower-level startup trigger
H07	The board polling callback or RPMsg lock causes the queue block	The minimal RPMsg-independent queue works while native RPMsg queue blocks	Compare minimal queue result with native baseline	Standalone clock blocks before RPTUN/polling starts; periodic clock fixes native RPMsg without changing polling or RPMsg locks	ruled-out	Endpoint-lock diagnostic crash was separate and removed
H10	CPU1 lacked deterministic private I-cache initialization, explaining why the timing-sensitive TIMER_ARCH loop converged on CP but livelocked on AP	With AP TIMER_ARCH restored, enabling only AP I-cache restores native RPMsg; removing I-cache returns to the confirmed TIMER_ARCH failure	Build AP TIMER_ARCH plus explicit up_enable_icache, leaving CP and RPMsg unchanged; compare AP s/dev, endpoint binding, cmd3, and vrings	AP reaches s=10 v=04; endpoints bind 1024/1025; native cmd3 passes; vrings advance 12/4,4/4 to 13/5,5/5; no-Icache TIMER_ARCH baseline fails	confirmed	Vendor CPU1 startup explicitly enables I-cache; team AP startup previously did not
